,lr,bs,ep_r
0,-1.0,0.0,-239.04594749917268
1,-1.0,0.1,-227.34943094663328
2,-1.0,0.2,-243.69265371504326
3,-1.0,0.30000000000000004,-225.6910453650359
4,-1.0,0.4,-194.42033575251497
5,-1.0,0.5,-180.10631310157504
6,-1.0,0.6000000000000001,-201.33908912920626
7,-1.0,0.7000000000000001,-159.52078690404713
8,-1.0,0.8,-203.5481272996235
9,-1.0,0.9,-212.32938905536307
10,-0.9,0.0,-215.70691720968907
11,-0.9,0.1,-196.53021843792203
12,-0.9,0.2,-253.302183134414
13,-0.9,0.30000000000000004,-232.88466187486557
14,-0.9,0.4,-214.41360822763528
15,-0.9,0.5,-174.40131979638082
16,-0.9,0.6000000000000001,-239.00093170340233
17,-0.9,0.7000000000000001,-226.08164328307777
18,-0.9,0.8,-234.52363679927663
19,-0.9,0.9,-240.2360211157392
20,-0.8,0.0,-215.69750222425054
21,-0.8,0.1,-203.33806759129703
22,-0.8,0.2,-253.30215737883213
23,-0.8,0.30000000000000004,-159.07795445817266
24,-0.8,0.4,-224.09962045493262
25,-0.8,0.5,-215.076137590865
26,-0.8,0.6000000000000001,-239.67859818963694
27,-0.8,0.7000000000000001,-250.79286579991154
28,-0.8,0.8,-233.74864496510185
29,-0.8,0.9,-225.24826485825616
30,-0.7000000000000001,0.0,-230.85275220669624
31,-0.7000000000000001,0.1,-210.0316753843881
32,-0.7000000000000001,0.2,-253.30218763874365
33,-0.7000000000000001,0.30000000000000004,-194.18254307294598
34,-0.7000000000000001,0.4,-220.629225393684
35,-0.7000000000000001,0.5,-213.9377719003938
36,-0.7000000000000001,0.6000000000000001,-225.17344878032208
37,-0.7000000000000001,0.7000000000000001,-225.2497524813607
38,-0.7000000000000001,0.8,-225.1281176689381
39,-0.7000000000000001,0.9,-225.08108129891062
40,-0.6000000000000001,0.0,-243.4776712737286
41,-0.6000000000000001,0.1,-228.4194613665039
42,-0.6000000000000001,0.2,-225.57118846701422
43,-0.6000000000000001,0.30000000000000004,-180.9612153262915
44,-0.6000000000000001,0.4,-235.29332824095872
45,-0.6000000000000001,0.5,-195.13647972342432
46,-0.6000000000000001,0.6000000000000001,-240.39941799575664
47,-0.6000000000000001,0.7000000000000001,-240.3859881766179
48,-0.6000000000000001,0.8,-248.99783842022384
49,-0.6000000000000001,0.9,-238.20844393152453
50,-0.5000000000000001,0.0,-227.6820477129848
51,-0.5000000000000001,0.1,-208.66204276449895
52,-0.5000000000000001,0.2,-200.67240557166517
