,epoch,Initial Train Accuracy,Initial Test Accuracy,Growth Train Accuracy,Growth Test Accuracy,Final Train Accuracy,Final Test Accuracy
0,0,9.924444444444445,10.68,9.924444444444445,10.68,10.22,10.96
1,1,9.924444444444445,10.68,9.926666666666666,10.68,11.242222222222223,11.7
2,2,14.30888888888889,14.5,10.348888888888888,9.48,11.671111111111111,12.0
3,3,13.78,14.34,10.084444444444445,9.24,18.626666666666665,18.16
4,4,10.071111111111112,9.42,10.084444444444445,9.24,22.844444444444445,22.18
5,5,19.488888888888887,18.94,9.42,8.44,26.27111111111111,25.88
6,6,26.084444444444443,25.98,11.153333333333334,9.94,33.92,33.5
7,7,27.68,27.48,12.986666666666666,11.82,37.60666666666667,37.4
8,8,28.137777777777778,27.9,12.737777777777778,11.54,33.78666666666667,34.62
9,9,30.637777777777778,30.58,10.895555555555555,9.84,40.48,40.42
10,10,31.304444444444446,31.78,11.133333333333333,10.46,41.373333333333335,40.58
11,11,31.626666666666665,31.34,12.428888888888888,11.72,42.82888888888889,41.92
12,12,32.27777777777778,32.16,11.957777777777778,10.84,43.70444444444445,43.58
13,13,33.68666666666667,33.32,10.27111111111111,9.32,44.4,44.34
14,14,33.98,34.36,10.086666666666666,9.24,46.324444444444445,45.24
15,15,33.62,33.32,10.86888888888889,9.76,46.18222222222222,45.2
